"","x"
"1","shopping"
"2","food"
"3","family"
"4","food"
"5","food"
"6","family"
"7","shopping"
"8","family"
"9","family"
"10","family"
"11","none"
"12","entertainment"
"13","people"
"14","family"
"15","people"
"16","food"
"17","none"
"18","food"
"19","family"
"20","people"
"21","food"
"22","people"
"23","none"
"24","family"
"25","none"
"26","entertainment"
"27","food"
"28","people"
"29","entertainment"
"30","family"
"31","none"
"32","none"
"33","people"
"34","family"
"35","food"
"36","none"
"37","work"
"38","shopping"
"39","family"
"40","family"
"41","work"
"42","none"
"43","family"
"44","family"
"45","family"
"46","none"
"47","none"
"48","family"
"49","people"
"50","none"
"51","family"
"52","exercise"
"53","none"
"54","family"
"55","none"
"56","none"
"57","food"
"58","people"
"59","family"
"60","none"
"61","family"
"62","family"
"63","family"
"64","family"
"65","family"
"66","family"
"67","people"
"68","family"
"69","people"
"70","people"
"71","family"
"72","none"
"73","food"
"74","none"
"75","family"
"76","family"
"77","family"
"78","family"
"79","none"
"80","family"
"81","food"
"82","family"
"83","family"
"84","family"
"85","family"
"86","none"
"87","family"
"88","family"
"89","people"
"90","family"
"91","family"
"92","family"
"93","family"
"94","family"
"95","family"
"96","shopping"
"97","family"
"98","people"
"99","family"
"100","family"
"101","people"
"102","none"
"103","family"
"104","family"
"105","people"
"106","entertainment"
"107","people"
"108","family"
"109","family"
"110","none"
"111","people"
"112","family"
"113","family"
"114","people"
"115","people"
"116","family"
"117","family"
"118","family"
"119","family"
"120","exercise"
"121","family"
"122","family"
"123","family"
"124","none"
"125","people"
"126","people"
"127","people"
"128","none"
"129","family"
"130","entertainment"
"131","family"
"132","people"
"133","none"
"134","family"
"135","exercise"
"136","family"
"137","family"
"138","family"
"139","people"
"140","entertainment"
"141","family"
"142","food"
"143","none"
"144","family"
"145","family"
"146","shopping"
"147","people"
"148","none"
"149","family"
"150","work"
"151","people"
"152","family"
"153","people"
"154","exercise"
"155","food"
"156","none"
"157","work"
"158","none"
"159","none"
"160","pets"
"161","entertainment"
"162","family"
"163","none"
"164","people"
"165","none"
"166","none"
"167","none"
"168","pets"
"169","exercise"
"170","exercise"
"171","none"
"172","entertainment"
"173","family"
"174","none"
"175","family"
"176","none"
"177","none"
"178","none"
"179","none"
"180","entertainment"
"181","food"
"182","none"
"183","pets"
"184","none"
"185","food"
"186","none"
"187","none"
"188","family"
"189","food"
"190","food"
"191","none"
"192","none"
"193","none"
"194","exercise"
"195","family"
"196","family"
"197","none"
"198","none"
"199","family"
"200","family"
"201","pets"
"202","none"
"203","family"
"204","exercise"
"205","family"
"206","exercise"
"207","none"
"208","family"
"209","none"
"210","family"
"211","people"
"212","none"
"213","none"
"214","none"
"215","food"
"216","none"
"217","family"
"218","none"
"219","entertainment"
"220","entertainment"
"221","family"
"222","none"
"223","food"
"224","entertainment"
"225","food"
"226","people"
"227","none"
"228","none"
"229","none"
"230","family"
"231","food"
"232","none"
"233","family"
"234","people"
"235","shopping"
"236","none"
"237","none"
"238","people"
"239","entertainment"
"240","family"
"241","food"
"242","none"
"243","none"
"244","people"
"245","people"
"246","people"
"247","people"
"248","entertainment"
"249","exercise"
"250","exercise"
"251","people"
"252","exercise"
"253","shopping"
"254","none"
"255","exercise"
"256","exercise"
"257","none"
"258","people"
"259","food"
"260","exercise"
"261","none"
"262","pets"
"263","people"
"264","food"
"265","shopping"
"266","exercise"
"267","none"
"268","none"
"269","pets"
"270","none"
"271","people"
"272","exercise"
"273","exercise"
"274","none"
"275","work"
"276","food"
"277","people"
"278","none"
"279","none"
"280","work"
"281","entertainment"
"282","shopping"
"283","entertainment"
"284","pets"
"285","none"
"286","exercise"
"287","none"
"288","people"
"289","none"
"290","food"
"291","family"
"292","people"
"293","people"
"294","none"
"295","food"
"296","people"
"297","people"
"298","family"
"299","none"
"300","exercise"
"301","entertainment"
"302","family"
"303","food"
"304","work"
"305","none"
"306","people"
"307","none"
"308","shopping"
"309","people"
"310","none"
"311","entertainment"
"312","food"
"313","food"
"314","entertainment"
"315","food"
"316","people"
"317","food"
"318","none"
"319","food"
"320","food"
"321","entertainment"
"322","food"
"323","food"
"324","family"
"325","food"
"326","none"
"327","entertainment"
"328","none"
"329","family"
"330","food"
"331","food"
"332","people"
"333","none"
"334","people"
"335","food"
"336","shopping"
"337","none"
"338","food"
"339","none"
"340","none"
"341","family"
"342","food"
"343","food"
"344","shopping"
"345","family"
"346","food"
"347","entertainment"
"348","food"
"349","food"
"350","none"
"351","people"
"352","none"
"353","work"
"354","none"
"355","exercise"
"356","none"
"357","work"
"358","people"
"359","people"
"360","exercise"
"361","pets"
"362","people"
"363","none"
"364","work"
"365","people"
"366","people"
"367","people"
"368","none"
"369","none"
"370","exercise"
"371","people"
"372","people"
"373","food"
"374","pets"
"375","people"
"376","people"
"377","none"
"378","people"
"379","exercise"
"380","none"
"381","shopping"
"382","people"
"383","none"
"384","people"
"385","people"
"386","none"
"387","people"
"388","work"
"389","food"
"390","none"
"391","work"
"392","people"
"393","people"
"394","people"
"395","none"
"396","people"
"397","family"
"398","food"
"399","people"
"400","people"
"401","none"
"402","none"
"403","none"
"404","pets"
"405","people"
"406","entertainment"
"407","pets"
"408","none"
"409","entertainment"
"410","shopping"
"411","none"
"412","exercise"
"413","food"
"414","shopping"
"415","none"
"416","none"
"417","none"
"418","food"
"419","entertainment"
"420","food"
"421","people"
"422","entertainment"
"423","food"
"424","pets"
"425","exercise"
"426","none"
"427","food"
"428","food"
"429","exercise"
"430","food"
"431","food"
"432","none"
"433","none"
"434","food"
"435","shopping"
"436","none"
"437","food"
"438","food"
"439","food"
"440","exercise"
"441","none"
"442","none"
"443","none"
"444","food"
"445","food"
"446","food"
"447","food"
"448","entertainment"
"449","food"
"450","family"
"451","none"
"452","entertainment"
"453","food"
"454","none"
"455","none"
"456","entertainment"
"457","none"
"458","entertainment"
"459","exercise"
"460","entertainment"
"461","shopping"
"462","people"
"463","exercise"
"464","people"
"465","family"
"466","none"
"467","food"
"468","shopping"
"469","family"
"470","entertainment"
"471","food"
"472","none"
"473","food"
"474","entertainment"
"475","family"
"476","entertainment"
"477","none"
"478","shopping"
"479","entertainment"
"480","none"
"481","entertainment"
"482","entertainment"
"483","entertainment"
"484","food"
"485","none"
"486","shopping"
"487","entertainment"
"488","exercise"
"489","entertainment"
"490","exercise"
"491","none"
"492","food"
"493","entertainment"
"494","entertainment"
"495","exercise"
"496","entertainment"
"497","none"
"498","exercise"
"499","exercise"
"500","pets"
"501","none"
"502","food"
"503","exercise"
"504","food"
"505","people"
"506","exercise"
"507","exercise"
"508","entertainment"
"509","people"
"510","none"
